Hash,Paths,NS,ND,NF,Entropy,FIX
32882b6e3513fa69185ea5b3d115e70b69ea5362,[checksetup.pl],1,1,1,0.0,1,0
e2f9251a28eb0b8fa523833424bffdc58aba8fda,[checksetup.pl],1,1,1,0.0,1,0
6bec18a2672025895230ee976ea6e9e59b978846,[checksetup.pl],1,1,1,0.0,1,0
94c2df0e830ea7070436f8ade182645893ac3373,"[Bugzilla/DB.pm, checksetup.pl]",2,2,2,0.7990485210442682,1,0
fb9c587d3ff4925962bd9022f187df976883d2c4,[template/en/default/global/confirm-user-match.html.tmpl],1,1,1,0.0,1,0
d5b3a4e13300d1360a5c86a1517798ef1aff743b,[template/en/default/global/choose-product.html.tmpl],1,1,1,0.0,1,0
04eec747666f354fc710afd9e7d48d4c1e17b5b2,[Bugzilla/Search.pm],1,1,1,0.0,1,0
17326153d8a11b8bd1f5b2189ccd85d94a57cd7b,[template/en/default/global/confirm-user-match.html.tmpl],1,1,1,0.0,1,0
8abd408e9df8b90db224b77cd53f7b4b375803c4,"[checksetup.pl, globals.pl]",1,1,2,0.6500224216483541,1,0
58d63b1333c16f709694b8013c492a04cf169c18,"[template/en/default/global/choose-classification.html.tmpl, template/en/default/global/choose-product.html.tmpl]",1,1,2,0.954434002924965,1,0
9eebc260a41390387e7f5c9effe52855af297364,"[template/en/default/admin/flag-type/list.html.tmpl, template/en/default/attachment/diff-file.html.tmpl, template/en/default/attachment/diff-header.html.tmpl, template/en/default/attachment/edit.html.tmpl, template/en/default/bug/comments.html.tmpl, template/en/default/bug/create/create-guided.html.tmpl, template/en/default/bug/create/create.html.tmpl, template/en/default/bug/dependency-tree.html.tmpl, template/en/default/bug/edit.html.tmpl, template/en/default/global/header.html.tmpl, template/en/default/global/help-header.html.tmpl, template/en/default/list/quips.html.tmpl, template/en/default/reports/create-chart.html.tmpl, template/en/default/search/form.html.tmpl, template/en/default/search/search-create-series.html.tmpl, template/en/default/search/search-specific.html.tmpl]",1,8,16,3.916126946588284,1,0
5d8f3d8e3d5309dbdbb86ab65c7712f370e861fa,"[enter_bug.cgi, template/en/default/bug/create/create.html.tmpl]",2,2,2,1.0,1,0
1414db6ba6c7508bf6e0e4c1191218aa71d7ce43,"[Bugzilla/BugMail.pm, Bugzilla/Util.pm, CGI.pl, process_bug.cgi]",2,2,4,1.8911143594569007,1,0
555a6472f907b5ba3f3d96e068f5afd830575db1,"[globals.pl, template/en/default/bug/comments.html.tmpl, template/en/default/bug/process/midair.html.tmpl]",2,3,3,1.4591479170272446,1,0
f88d296263969914fba5c461cad34b5c3b1b9a74,"[enter_bug.cgi, template/en/default/global/choose-classification.html.tmpl]",2,2,2,1.0,1,0
a0d0ee270e7723f335945ec1ce09dd8efa65ff89,"[enter_bug.cgi, post_bug.cgi, template/en/default/bug/create/create.html.tmpl]",2,2,3,1.3876084275346505,1,0
1e1498c4660b0bc4feb92a458dea533a58bd49da,[sanitycheck.cgi],1,1,1,0.0,1,0
1355d45bdaf91cb4aa506166eb619c2729997bd6,[Bugzilla/User.pm],1,1,1,0.0,1,0
4218394913eb9f3fa72910ca568a6cfaab463800,[Bugzilla/Config.pm],1,1,1,0.0,1,0
8b0a6508c4daa8a56d17192a9c3a1d9b53790e15,"[buglist.cgi, skins/standard/summarize-time.css, summarize_time.cgi, template/en/default/bug/edit.html.tmpl, template/en/default/bug/summarize-time.html.tmpl, template/en/default/filterexceptions.pl, template/en/default/list/list.html.tmpl]",3,5,7,1.423565491692557,1,0
c62518c3fdaf04fbab67a1e3ad643bb9c54f43cf,"[Bugzilla/BugMail.pm, defparams.pl]",2,2,2,0.9182958340544894,1,0
4885c4563032a5c49faf667b03f70e9bddb939fb,[globals.pl],1,1,1,0.0,1,0
bc77698dd44c82b6c017c4de977169e2185be9b2,[template/en/default/attachment/content-types.html.tmpl],1,1,1,0.0,1,0
7962c876e52a2812cd6ab00be1c9cdabc05000ec,"[process_bug.cgi, template/en/default/global/messages.html.tmpl, template/en/default/global/user-error.html.tmpl]",2,2,3,0.6760740718103724,1,0
e9f024d42a579703d86707d757f60e115610d31f,[Bugzilla/Config.pm],1,1,1,0.0,1,0
227cf9e129b811c24fc8a4baac5eab439d60965a,[globals.pl],1,1,1,0.0,1,0
ca2f67d88996b8a2b49264e94659f7acf3e1bc68,[quips.cgi],1,1,1,0.0,1,0
86cdd89c871a0a5fd86892feb0af31d5ab5a088f,[Bugzilla/Chart.pm],1,1,1,0.0,1,0
81fec28afef6a2cc01efe57b665b7f2f19d8c73a,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
518c6ffa1c75fe083c6b014817e29923ae36a851,"[Bugzilla/Util.pm, checksetup.pl]",2,2,2,0.41381685030363374,1,0
bcdbb6999c5d5c9e19d6df23c7a804bc94e9380b,[quips.cgi],1,1,1,0.0,1,0
e194919edc98397062fee13305e0ec9d192e3893,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
