Hash,File,LA,LD,LT,isAdded,isRemoved
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/web_server.rst,14,0,15,1,0
c2265a627a585e110cd4251a7cf9ca80ad65734f,template/en/default/attachment/create.html.tmpl,1,0,144,0,0
c2265a627a585e110cd4251a7cf9ca80ad65734f,template/en/default/attachment/edit.html.tmpl,1,0,353,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,Bugzilla/WebService/Constants.pm,3,0,342,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/attachment.rst,70,0,426,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/bug-user-last-visit.rst,5,0,117,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/bug.rst,93,2,1087,0,0
daf1022807acee54bd221492e5871b5cbcc5ae09,docs/en/rst/index.rst,0,17,15,0,0
daf1022807acee54bd221492e5871b5cbcc5ae09,docs/en/rst/installing/apache-windows.rst,2,2,137,0,0
daf1022807acee54bd221492e5871b5cbcc5ae09,docs/en/rst/installing/db_server.rst,18,0,19,1,0
daf1022807acee54bd221492e5871b5cbcc5ae09,docs/en/rst/installing/index.rst,2,0,39,0,0
daf1022807acee54bd221492e5871b5cbcc5ae09,docs/en/rst/installing/web_server.rst,13,0,14,1,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/classification.rst,2,3,80,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/comment.rst,54,0,301,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/component.rst,165,0,231,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/field.rst,13,0,254,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/flagtype.rst,61,0,435,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/general.rst,2,2,267,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/group.rst,26,0,305,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/product.rst,32,0,449,0,0
0ae0fecd06e72557bcd87a8f58e55968081cb2dd,docs/en/rst/api/core/v1/user.rst,43,0,428,0,0
88a60383f6c804668079da938ab7c2913415dbfd,showdependencygraph.cgi,4,2,335,0,0
88a60383f6c804668079da938ab7c2913415dbfd,template/en/default/bug/dependency-graph.html.tmpl,2,0,92,0,0
796b692bb18a9e1bcd1fa771d161b8bf3aef7c25,docs/en/rst/conf.py,1,1,431,0,0
dad451b506a02669c8220f668aadafddbd58cf40,showdependencygraph.cgi,2,1,336,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/WebService/Bug.pm,23,10,4837,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/WebService/Util.pm,2,3,380,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,attachment.cgi,3,2,839,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,post_bug.cgi,14,6,245,0,0
1d78355c934947d4431db15d2e158f3ad42e4f50,taskgraph.json,12,12,221,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,process_bug.cgi,1,1,436,0,0
dfa6603fddcfe9bd1c4c7a0f31c2689a01009105,docs/en/rst/conf.py,1,1,431,0,0
864d9b8f7988fa8e1f069c96956573fc67ebccfa,docs/en/rst/api/core/v1/bug.rst,1,1,996,0,0
b241244b33f920514c2a84a0c98279aa7158f200,template/en/default/global/header.html.tmpl,2,1,277,0,0
94d623c08f48784c8ce87f8a8175aaa2a17c6d52,taskgraph.json,6,0,227,0,0
284d32f482c54052c9f3d6f484342eb58880184b,taskgraph.json,12,12,221,0,0
871de5e2dbb48867b08371ce90881d8f85b18ff1,Bugzilla/API/1_0/Server.pm,7,1,472,0,0
